state_code,district_number,rep_name,rep_audio_url
AK,0,Nicholas Begich,/n400-audio/State/Alaska/House of rep/At_Large/Nicholas_Begich.mp3
AL,1,Barry Moore,/n400-audio/State/Alabama/House of rep/1st/Barry_Moore.mp3
AL,2,Shomari Figures,/n400-audio/State/Alabama/House of rep/2nd/Shomari_Figures.mp3
AL,3,Mike Rogers,/n400-audio/State/Alabama/House of rep/3rd/Mike_Rogers.mp3
AL,4,Robert Aderholt,/n400-audio/State/Alabama/House of rep/4th/Robert_Aderholt.mp3
AL,5,Dale Strong,/n400-audio/State/Alabama/House of rep/5th/Dale_Strong.mp3
AL,6,Gary Palmer,/n400-audio/State/Alabama/House of rep/6th/Gary_Palmer.mp3
AL,7,Terri Sewell,/n400-audio/State/Alabama/House of rep/7th/Terri_Sewell.mp3
AR,1,Eric Crawford,/n400-audio/State/Arkansas/House of rep/1st/Eric_Crawford.mp3
AR,2,J  Hill,/n400-audio/State/Arkansas/House of rep/2nd/J__Hill.mp3
AR,3,Steve Womack,/n400-audio/State/Arkansas/House of rep/3rd/Steve_Womack.mp3
AR,4,Bruce Westerman,/n400-audio/State/Arkansas/House of rep/4th/Bruce_Westerman.mp3
AS,0,Aumua Amata Radewagen,/n400-audio/State/American%20Samoa/House of rep/Delegate/Aumua_Amata_Radewagen.mp3
AZ,1,David Schweikert,/n400-audio/State/Arizona/House of rep/1st/David_Schweikert.mp3
AZ,2,Elijah Crane,/n400-audio/State/Arizona/House of rep/2nd/Elijah_Crane.mp3
AZ,3,Yassamin Ansari,/n400-audio/State/Arizona/House of rep/3rd/Yassamin_Ansari.mp3
AZ,4,Greg Stanton,/n400-audio/State/Arizona/House of rep/4th/Greg_Stanton.mp3
AZ,5,Andy Biggs,/n400-audio/State/Arizona/House of rep/5th/Andy_Biggs.mp3
AZ,6,Juan Ciscomani,/n400-audio/State/Arizona/House of rep/6th/Juan_Ciscomani.mp3
AZ,7,Adelita Grijalva,/n400-audio/State/Arizona/House of rep/7th/Adelita_Grijalva.mp3
AZ,8,Abraham Hamadeh,/n400-audio/State/Arizona/House of rep/8th/Abraham_Hamadeh.mp3
AZ,9,Paul Gosar,/n400-audio/State/Arizona/House of rep/9th/Paul_Gosar.mp3
CA,1,Doug LaMalfa,/n400-audio/State/California/House of rep/1st/Doug_LaMalfa.mp3
CA,2,Jared Huffman,/n400-audio/State/California/House of rep/2nd/Jared_Huffman.mp3
CA,3,Kevin Kiley,/n400-audio/State/California/House of rep/3rd/Kevin_Kiley.mp3
CA,4,Mike Thompson,/n400-audio/State/California/House of rep/4th/Mike_Thompson.mp3
CA,5,Tom McClintock,/n400-audio/State/California/House of rep/5th/Tom_McClintock.mp3
CA,6,Ami Bera,/n400-audio/State/California/House of rep/6th/Ami_Bera.mp3
CA,7,Doris Matsui,/n400-audio/State/California/House of rep/7th/Doris_Matsui.mp3
CA,8,John Garamendi,/n400-audio/State/California/House of rep/8th/John_Garamendi.mp3
CA,9,Josh Harder,/n400-audio/State/California/House of rep/9th/Josh_Harder.mp3
CA,10,Mark DeSaulnier,/n400-audio/State/California/House of rep/10th/Mark_DeSaulnier.mp3
CA,11,Nancy Pelosi,/n400-audio/State/California/House of rep/11th/Nancy_Pelosi.mp3
CA,12,Lateefah Simon,/n400-audio/State/California/House of rep/12th/Lateefah_Simon.mp3
CA,13,Adam Gray,/n400-audio/State/California/House of rep/13th/Adam_Gray.mp3
CA,14,Eric Swalwell,/n400-audio/State/California/House of rep/14th/Eric_Swalwell.mp3
CA,15,Kevin Mullin,/n400-audio/State/California/House of rep/15th/Kevin_Mullin.mp3
CA,16,Sam Liccardo,/n400-audio/State/California/House of rep/16th/Sam_Liccardo.mp3
CA,17,Ro Khanna,/n400-audio/State/California/House of rep/17th/Ro_Khanna.mp3
CA,18,Zoe Lofgren,/n400-audio/State/California/House of rep/18th/Zoe_Lofgren.mp3
CA,19,Jimmy Panetta,/n400-audio/State/California/House of rep/19th/Jimmy_Panetta.mp3
CA,20,Vince Fong,/n400-audio/State/California/House of rep/20th/Vince_Fong.mp3
CA,21,Jim Costa,/n400-audio/State/California/House of rep/21st/Jim_Costa.mp3
CA,22,David Valadao,/n400-audio/State/California/House of rep/22nd/David_Valadao.mp3
